Song,Artist,Country,Year,Language,Grand Final Place,Grand Final Points,Semifinal,Semifinal Place,Semifinal Points
Alle mine tankar,Silje Vige,Norway,1993,Norwegian,5.0,120.0,,,
A cidade (até ser dia),Anabela,Portugal,1993,Portuguese,10.0,60.0,,,
Tih deževen dan,1X Band,Slovenia,1993,Slovene,22.0,9.0,,,
Hombres,Eva Santamaría,Spain,1993,Spanish,11.0,58.0,,,
Eloise,Arvingarna,Sweden,1993,Swedish,7.0,89.0,,,
"Moi, tout simplement",Annie Cotton,Switzerland,1993,French,3.0,148.0,,,
Esmer Yarim,Burak Aydos,Turkey,1993,Turkish,21.0,10.0,,,
Better the Devil You Know,Sonia,United Kingdom,1993,English,2.0,164.0,,,
Für den Frieden der Welt,Petra Frey,Austria,1994,German,17.0,19.0,,,
Ostani kraj mene,Alma & Dejan,Bosnia and Herzegovina,1994,Bosnian,15.0,39.0,,,
Nek' ti bude ljubav sva,Tony Cetinski,Croatia,1994,Croatian,16.0,27.0,,,
Ime anthropos ki ego (Είμαι άνθρωπος κι εγώ),Evridiki,Cyprus,1994,Greek,11.0,51.0,,,
Nagu merelaine,Silvi Vrait,Estonia,1994,Estonian,24.0,2.0,,,
Bye Bye Baby,CatCat,Finland,1994,Finnish,22.0,11.0,,,
Bye Bye Baby,CatCat,Finland,1994,English,22.0,11.0,,,
Je suis un vrai garçon,Nina Morato,France,1994,French,7.0,74.0,,,
Wir geben 'ne Party,MeKaDo,Germany,1994,German,3.0,128.0,,,
To trehandiri (Το τρεχαντήρι),Kostas Bigalis & The Sea Lovers,Greece,1994,Greek,14.0,44.0,,,
Kinek mondjam el vétkeimet?,Friderika Bayer,Hungary,1994,Hungarian,4.0,122.0,,,
Nætur,Sigga,Iceland,1994,Icelandic,12.0,49.0,,,
Rock 'n' Roll Kids,Paul Harrington & Charlie McGettigan,Ireland,1994,English,1.0,226.0,,,
Lopšinė mylimai,Ovidijus Vyšniauskas,Lithuania,1994,Lithuanian,25.0,0.0,,,
More than Love,Chris and Moira,Malta,1994,English,5.0,97.0,,,
Waar is de zon,Willeke Alberti,Netherlands,1994,Dutch,23.0,4.0,,,
Duett,Elisabeth Andreassen & Jan Werner Danielsen,Norway,1994,Norwegian,6.0,76.0,,,
To nie ja!,Edyta Górniak,Poland,1994,Polish,2.0,166.0,,,
Chamar a música,Sara Tavares,Portugal,1994,Portuguese,8.0,73.0,,,
Dincolo de nori,Dan Bittman,Romania,1994,Romanian,21.0,14.0,,,
Vechny strannik (Вечный странник),Youddiph,Russia,1994,Russian,9.0,70.0,,,
Nekonečná pieseň,Tublatanka,Slovakia,1994,Slovak,19.0,15.0,,,
Ella no es ella,Alejandro Abad,Spain,1994,Spanish,18.0,17.0,,,
Stjärnorna,Marie Bergman & Roger Pontare,Sweden,1994,Swedish,13.0,48.0,,,
Sto pregando,Duilio,Switzerland,1994,Italian,19.0,15.0,,,
We Will Be Free (Lonely Symphony),Frances Ruffelle,United Kingdom,1994,English,10.0,63.0,,,
Die Welt dreht sich verkehrt,Stella Jones,Austria,1995,German,13.0,67.0,,,
La voix est libre,Frédéric Etherlinck,Belgium,1995,French,20.0,8.0,,,
Dvadeset prvi vijek,Davorin Popović,Bosnia and Herzegovina,1995,Bosnian,19.0,14.0,,,
Nostalgija,Magazin & Lidija,Croatia,1995,Croatian,6.0,91.0,,,
Sti fotia (Στη φωτιά),Alexandros Panayi,Cyprus,1995,Greek,9.0,79.0,,,
Fra Mols til Skagen,Aud Wilken,Denmark,1995,Danish,5.0,92.0,,,
Il me donne rendez-vous,Nathalie Santamaria,France,1995,French,4.0,94.0,,,
Verliebt in Dich,Stone & Stone,Germany,1995,German,23.0,1.0,,,
Pia prosefhi (Ποια προσευχή),Elina Konstantopoulou,Greece,1995,Greek,12.0,68.0,,,
Új név a régi ház falán,Csaba Szigeti,Hungary,1995,Hungarian,22.0,3.0,,,
Núna,Bo Halldórsson,Iceland,1995,Icelandic,15.0,31.0,,,
Dreamin',Eddie Friel,Ireland,1995,English,14.0,44.0,,,
Amen (אמן),Liora,Israel,1995,Hebrew,8.0,81.0,,,
Keep Me In Mind,Mike Spiteri,Malta,1995,English,10.0,76.0,,,
Nocturne,Secret Garden,Norway,1995,Norwegian,1.0,148.0,,,
Sama,Justyna,Poland,1995,Polish,18.0,15.0,,,
Baunilha e chocolate,Tó Cruz,Portugal,1995,Portuguese,21.0,5.0,,,
Kolybelnaya dlya vulkana (Колыбельная для вулкана),Philipp Kirkorov,Russia,1995,Russian,17.0,17.0,,,
Prisluhni mi,Darja Švajger,Slovenia,1995,Slovene,7.0,84.0,,,
Vuelve conmigo,Anabel Conde,Spain,1995,Spanish,2.0,119.0,,,
Se på mig,Jan Johansen,Sweden,1995,Swedish,3.0,100.0,,,
Sev,Arzu Ece,Turkey,1995,Turkish,16.0,21.0,,,
Love City Groove,Love City Groove,United Kingdom,1995,English,10.0,76.0,,,
Weil's dr guat got,George Nussbaumer,Austria,1996,Vorarlbergish,10.0,68.0,,,
Liefde is een kaartspel,Lisa del Bo,Belgium,1996,Dutch,16.0,22.0,,,
Za našu ljubav,Amila Glamočak,Bosnia and Herzegovina,1996,Bosnian,22.0,13.0,,,
Sveta ljubav,Maja Blagdan,Croatia,1996,Croatian,4.0,98.0,,,
Mono gia mas (Μόνο για μας),Constantinos,Cyprus,1996,Greek,9.0,72.0,,,
Kaelakee hääl,Maarja-Liis Ilus & Ivo Linna,Estonia,1996,Estonian,5.0,94.0,,,
Niin kaunis on taivas,Jasmine,Finland,1996,Finnish,23.0,9.0,,,
Diwanit Bugale,Dan Ar Braz & l'Héritage des Celtes,France,1996,Breton,19.0,18.0,,,
Emis forame to himona anixiatika (Εμείς φοράμε το χειμώνα ανοιξιάτικα),Marianna Efstratiou,Greece,1996,Greek,14.0,36.0,,,
Sjúbídú,Anna Mjöll,Iceland,1996,Icelandic,13.0,51.0,,,
The Voice,Eimear Quinn,Ireland,1996,English,1.0,162.0,,,
In a Woman's Heart,Miriam Christine,Malta,1996,English,10.0,68.0,,,
De eerste keer,Maxine & Franklin Brown,Netherlands,1996,Dutch,7.0,78.0,,,
I evighet,Elisabeth Andreassen,Norway,1996,Norwegian,2.0,114.0,,,
Chcę znać swój grzech...,Kasia Kowalska,Poland,1996,Polish,15.0,31.0,,,
O meu coração não tem cor,Lúcia Moniz,Portugal,1996,Portuguese,6.0,92.0,,,
Kým nás máš,Marcel Palonder,Slovakia,1996,Slovak,18.0,19.0,,,
Dan najlepših sanj,Regina,Slovenia,1996,Slovene,21.0,16.0,,,
"¡Ay, qué deseo!",Antonio Carbonell,Spain,1996,Spanish,20.0,17.0,,,
Den vilda,One More Time,Sweden,1996,Swedish,3.0,100.0,,,
Mon cœur l'aime,Kathy Leander,Switzerland,1996,French,16.0,22.0,,,
Beşinci Mevsim,Şebnem Paker,Turkey,1996,Turkish,12.0,57.0,,,
Ooh Aah... Just a Little Bit,Gina G,United Kingdom,1996,English,8.0,77.0,,,
One Step,Bettina Soriat,Austria,1997,German,21.0,12.0,,,
Goodbye,Alma Čardžić,Bosnia and Herzegovina,1997,Bosnian,18.0,22.0,,,
Probudi me,E.N.I.,Croatia,1997,Croatian,17.0,24.0,,,
Mana mou (Μάνα μου),Hara & Andreas Konstantinou,Cyprus,1997,Greek,5.0,98.0,,,
Stemmen i mit liv,Kølig Kaj,Denmark,1997,Danish,16.0,25.0,,,
Keelatud maa,Maarja-Liis Ilus,Estonia,1997,Estonian,8.0,82.0,,,
Sentiments songes,Fanny,France,1997,French,7.0,95.0,,,
Zeit,Bianca Shomburg,Germany,1997,German,18.0,22.0,,,
Horepse (Χόρεψε),Marianna Zorba,Greece,1997,Greek,12.0,39.0,,,
"Miért kell, hogy elmenj?",V.I.P.,Hungary,1997,Hungarian,12.0,39.0,,,
Minn hinsti dans,Paul Oscar,Iceland,1997,Icelandic,20.0,18.0,,,
Mysterious Woman,Marc Roberts,Ireland,1997,English,2.0,157.0,,,
Fiumi di parole,Jalisse,Italy,1997,Italian,4.0,114.0,,,
Let Me Fly,Debbie Scerri,Malta,1997,English,9.0,66.0,,,
Niemand heeft nog tijd,Mrs. Einstein,Netherlands,1997,Dutch,22.0,5.0,,,
San Francisco,Tor Endresen,Norway,1997,Norwegian,24.0,0.0,,,
Ale jestem,Anna Maria Jopek,Poland,1997,Polish,11.0,54.0,,,
Antes do adeus,Célia Lawson,Portugal,1997,Portuguese,24.0,0.0,,,
Primadonna (Примадонна),Alla Pugacheva,Russia,1997,Russian,15.0,33.0,,,
Zbudi se,Tanja Ribič,Slovenia,1997,Slovene,10.0,60.0,,,
Sin rencor,Marcos Llunas,Spain,1997,Spanish,6.0,96.0,,,
Bara hon älskar mig,Blond,Sweden,1997,Swedish,14.0,36.0,,,
Dentro di me,Barbara Berta,Switzerland,1997,Italian,22.0,5.0,,,
Dinle,Şebnem Paker & Grup Ethnic,Turkey,1997,Turkish,3.0,121.0,,,
Love Shine a Light,Katrina and the Waves,United Kingdom,1997,English,1.0,227.0,,,
Dis oui,Mélanie Cohl,Belgium,1998,French,6.0,122.0,,,
Neka mi ne svane,Danijela,Croatia,1998,Croatian,5.0,131.0,,,
Genesis (Γένεσις),Michael Hajiyanni,Cyprus,1998,Greek,11.0,37.0,,,
Mere lapsed,Koit Toome,Estonia,1998,Estonian,12.0,36.0,,,
Aava,Edea,Finland,1998,Finnish,15.0,22.0,,,
Où aller,Marie Line,France,1998,French,24.0,3.0,,,
Guildo hat euch lieb!,Guildo Horn,Germany,1998,German,7.0,86.0,,,
Mia Krifi Evesthisia (Μια κρυφή ευαισθησία),Thalassa,Greece,1998,Greek,20.0,12.0,,,
A holnap már nem lesz szomorú,Charlie,Hungary,1998,Hungarian,23.0,4.0,,,
Is Always Over Now?,Dawn Martin,Ireland,1998,English,9.0,64.0,,,
Diva (דיווה),Dana International,Israel,1998,Hebrew,1.0,172.0,,,
The One That I Love,Chiara,Malta,1998,English,3.0,165.0,,,
Hemel en aarde,Edsilia,Netherlands,1998,Dutch,4.0,150.0,,,
"Ne zori, zoro (Не зори, зоро)",Vlado Janevski,North Macedonia,1998,Macedonian,19.0,16.0,,,
Alltid sommer,Lars Fredriksen,Norway,1998,Norwegian,8.0,79.0,,,
To takie proste,Sixteen,Poland,1998,Polish,17.0,19.0,,,
Se eu te pudesse abraçar,Alma Lusa,Portugal,1998,Portuguese,12.0,36.0,,,
Eu cred,Mălina Olinescu,Romania,1998,Romanian,22.0,6.0,,,
Modlitba,Katarína Hasprová,Slovakia,1998,Slovak,21.0,8.0,,,
Naj bogovi slišijo,Vili Resnik,Slovenia,1998,Slovene,18.0,17.0,,,
¿Qué voy a hacer sin ti?,Mikel Herzog,Spain,1998,Spanish,16.0,21.0,,,
Kärleken är,Jill Johnson,Sweden,1998,Swedish,10.0,53.0,,,
Lass ihn,Gunvor,Switzerland,1998,German,25.0,0.0,,,
Unutamazsın,Tüzmen,Turkey,1998,Turkish,14.0,25.0,,,
Where Are You?,Imaani,United Kingdom,1998,English,2.0,166.0,,,
Reflection,Bobbie Singer,Austria,1999,English,10.0,65.0,,,
Like the Wind,Vanessa Chinitor,Belgium,1999,English,12.0,38.0,,,
Putnici,Dino & Béatrice,Bosnia and Herzegovina,1999,Bosnian,7.0,86.0,,,
Putnici,Dino & Béatrice,Bosnia and Herzegovina,1999,French,7.0,86.0,,,
Marija Magdalena,Doris Dragović,Croatia,1999,Croatian,4.0,118.0,,,
Tha'nai Erotas (Θα'ναι έρωτας),Marlain,Cyprus,1999,Greek,22.0,2.0,,,
This Time I Mean It,Trine Jepsen & Michael Teschl,Denmark,1999,English,8.0,71.0,,,
Diamond of Night,Evelin Samuel & Camille,Estonia,1999,English,6.0,90.0,,,
Je veux donner ma voix,Nayah,France,1999,French,19.0,14.0,,,
Reise nach Jerusalem – Kudüs'e seyahat,Sürpriz,Germany,1999,German,3.0,140.0,,,
Reise nach Jerusalem – Kudüs'e seyahat,Sürpriz,Germany,1999,Turkish,3.0,140.0,,,
Reise nach Jerusalem – Kudüs'e seyahat,Sürpriz,Germany,1999,English,3.0,140.0,,,
Reise nach Jerusalem – Kudüs'e seyahat,Sürpriz,Germany,1999,Hebrew,3.0,140.0,,,
All Out of Luck,Selma,Iceland,1999,English,2.0,146.0,,,
When You Need Me,The Mullans,Ireland,1999,English,17.0,18.0,,,
Yom Huledet (Happy Birthday) (יום הולדת),Eden,Israel,1999,English,5.0,93.0,,,
Yom Huledet (Happy Birthday) (יום הולדת),Eden,Israel,1999,Hebrew,5.0,93.0,,,
Strazdas,Aistė,Lithuania,1999,Samogitian,20.0,13.0,,,
Believe 'n Peace,Times Three,Malta,1999,English,15.0,32.0,,,
One Good Reason,Marlayne,Netherlands,1999,English,8.0,71.0,,,
Living My Life Without You,Stig Van Eijk,Norway,1999,English,14.0,35.0,,,
Przytul mnie mocno,Mietek Szcześniak,Poland,1999,Polish,18.0,17.0,,,
Como tudo começou,Rui Bandeira,Portugal,1999,Portuguese,21.0,12.0,,,
For a Thousand Years,Darja Švajger,Slovenia,1999,English,11.0,50.0,,,
No quiero escuchar,Lydia,Spain,1999,Spanish,23.0,1.0,,,
Take Me to Your Heaven,Charlotte Nilsson,Sweden,1999,English,1.0,163.0,,,
Dön Artık,Tuğba Önal & Grup Mistik,Turkey,1999,Turkish,16.0,21.0,,,
Say It Again,Precious,United Kingdom,1999,English,12.0,38.0,,,
All to You,The Rounder Girls,Austria,2000,English,14.0,34.0,,,
Envie de vivre,Nathalie Sorce,Belgium,2000,French,24.0,2.0,,,
Kad zaspu anđeli,Goran Karan,Croatia,2000,Croatian,9.0,70.0,,,
Nomiza (Νόμιζα),Voice,Cyprus,2000,Greek,21.0,8.0,,,
Nomiza (Νόμιζα),Voice,Cyprus,2000,Italian,21.0,8.0,,,
Fly on the Wings of Love,Olsen Brothers,Denmark,2000,English,1.0,195.0,,,
Once in a Lifetime,Ines,Estonia,2000,English,4.0,98.0,,,
A Little Bit,Nina Åström,Finland,2000,English,18.0,18.0,,,
On aura le ciel,Sofia Mestari,France,2000,French,23.0,5.0,,,
Wadde hadde dudde da?,Stefan Raab,Germany,2000,German,5.0,96.0,,,
Wadde hadde dudde da?,Stefan Raab,Germany,2000,English,5.0,96.0,,,
Tell Me!,August & Telma,Iceland,2000,English,12.0,45.0,,,
Millennium of Love,Eamonn Toal,Ireland,2000,English,6.0,92.0,,,
Sameach (שמח),PingPong,Israel,2000,Hebrew,22.0,7.0,,,
My Star,Brainstorm,Latvia,2000,English,3.0,136.0,,,
Desire,Claudette Pace,Malta,2000,English,8.0,73.0,,,
Desire,Claudette Pace,Malta,2000,Maltese,8.0,73.0,,,
No Goodbyes,Linda Wagenmakers,Netherlands,2000,English,13.0,40.0,,,
100% te ljubam (100% те љубам),XXL,North Macedonia,2000,Macedonian,15.0,29.0,,,
100% te ljubam (100% те љубам),XXL,North Macedonia,2000,English,15.0,29.0,,,
My Heart Goes Boom,Charmed,Norway,2000,English,11.0,57.0,,,
The Moon,Taxi,Romania,2000,English,17.0,25.0,,,
Solo,Alsou,Russia,2000,English,2.0,155.0,,,
Colgado de un sueño,Serafín Zubiri,Spain,2000,Spanish,18.0,18.0,,,
When Spirits Are Calling My Name,Roger Pontare,Sweden,2000,English,7.0,88.0,,,
La vita cos'è?,Jane Bogaert,Switzerland,2000,Italian,20.0,14.0,,,
Yorgunum Anla,Pınar Ayhan & The SOS,Turkey,2000,Turkish,10.0,59.0,,,
Yorgunum Anla,Pınar Ayhan & The SOS,Turkey,2000,English,10.0,59.0,,,
Don't Play That Song Again,Nicki French,United Kingdom,2000,English,16.0,28.0,,,
Hano,Nino Pršeš,Bosnia and Herzegovina,2001,Bosnian,14.0,29.0,,,
Hano,Nino Pršeš,Bosnia and Herzegovina,2001,English,14.0,29.0,,,
Strings of My Heart,Vanna,Croatia,2001,English,10.0,42.0,,,
Never Ever Let You Go,Rollo & King,Denmark,2001,English,2.0,177.0,,,
Everybody,"Tanel Padar, Dave Benton & 2XL",Estonia,2001,English,1.0,198.0,,,
Je n'ai que mon âme,Natasha St-Pier,France,2001,French,4.0,142.0,,,
Je n'ai que mon âme,Natasha St-Pier,France,2001,English,4.0,142.0,,,
Wer Liebe lebt,Michelle,Germany,2001,German,8.0,66.0,,,
Wer Liebe lebt,Michelle,Germany,2001,English,8.0,66.0,,,
(I Would) Die for You,Antique,Greece,2001,Greek,3.0,147.0,,,
(I Would) Die for You,Antique,Greece,2001,English,3.0,147.0,,,
Angel,Two Tricky,Iceland,2001,English,22.0,3.0,,,
Without Your Love,Gary O'Shaughnessy,Ireland,2001,English,21.0,6.0,,,
En Davar (אין דבר),Tal Sondak,Israel,2001,Hebrew,16.0,25.0,,,
Too Much,Arnis Mednis,Latvia,2001,English,18.0,16.0,,,
You Got Style,SKAMP,Lithuania,2001,English,13.0,35.0,,,
You Got Style,SKAMP,Lithuania,2001,Lithuanian,13.0,35.0,,,
Another Summer Night,Fabrizio Faniello,Malta,2001,English,9.0,48.0,,,
Out on My Own,Michelle,Netherlands,2001,English,18.0,16.0,,,
On My Own,Haldor Lægreid,Norway,2001,English,22.0,3.0,,,
2 Long,Piasek,Poland,2001,English,20.0,11.0,,,
Só sei ser feliz assim,MTM,Portugal,2001,Portuguese,17.0,18.0,,,
Lady Alpine Blue,Mumiy Troll,Russia,2001,English,12.0,37.0,,,
Energy,Nuša Derenda,Slovenia,2001,English,7.0,70.0,,,
Dile que la quiero,David Civera,Spain,2001,Spanish,6.0,76.0,,,
Listen to Your Heartbeat,Friends,Sweden,2001,English,5.0,100.0,,,
Sevgiliye Son,Sedat Yüce,Turkey,2001,Turkish,11.0,41.0,,,
Sevgiliye Son,Sedat Yüce,Turkey,2001,English,11.0,41.0,,,
No Dream Impossible,Lindsay Dracass,United Kingdom,2001,English,15.0,28.0,,,
Say a Word,Manuel Ortega,Austria,2002,English,18.0,26.0,,,
Sister,Sergio & The Ladies,Belgium,2002,English,13.0,33.0,,,
Na jastuku za dvoje (На јастуку за двоје),Maja,Bosnia and Herzegovina,2002,Serbian,13.0,33.0,,,
Na jastuku za dvoje (На јастуку за двоје),Maja,Bosnia and Herzegovina,2002,English,13.0,33.0,,,
Everything I Want,Vesna Pisarović,Croatia,2002,English,11.0,44.0,,,
Gimme,One,Cyprus,2002,English,6.0,85.0,,,
Tell Me Who You Are,Malene Mortensen,Denmark,2002,English,24.0,7.0,,,
Runaway,Sahlene,Estonia,2002,English,3.0,111.0,,,
Addicted to You,Laura,Finland,2002,English,20.0,24.0,,,
Il faut du temps,Sandrine François,France,2002,French,5.0,104.0,,,
I Can't Live Without Music,Corinna May,Germany,2002,English,21.0,17.0,,,
S.A.G.A.P.O.,Michalis Rakintzis,Greece,2002,English,17.0,27.0,,,
Light a Candle,Sarit Hadad,Israel,2002,Hebrew,12.0,37.0,,,
Light a Candle,Sarit Hadad,Israel,2002,English,12.0,37.0,,,
I Wanna,Marie N,Latvia,2002,English,1.0,176.0,,,
Happy You,Aivaras,Lithuania,2002,English,23.0,12.0,,,
7th Wonder,Ira Losco,Malta,2002,English,2.0,164.0,,,
Od nas zavisi (Од нас зависи),Karolina,North Macedonia,2002,Macedonian,19.0,25.0,,,
Tell Me Why,Monica Anghel & Marcel Pavel,Romania,2002,English,9.0,71.0,,,
Northern Girl,Prime Minister,Russia,2002,English,10.0,55.0,,,
Samo ljubezen,Sestre,Slovenia,2002,Slovene,13.0,33.0,,,
Europe's Living a Celebration,Rosa,Spain,2002,Spanish,7.0,81.0,,,
Europe's Living a Celebration,Rosa,Spain,2002,English,7.0,81.0,,,
Never Let It Go,Afro-dite,Sweden,2002,English,8.0,72.0,,,
Dans le jardin de mon âme,Francine Jordi,Switzerland,2002,French,22.0,15.0,,,
Leylaklar Soldu Kalbinde,Buket Bengisu & Group Safir,Turkey,2002,Turkish,16.0,29.0,,,
Leylaklar Soldu Kalbinde,Buket Bengisu & Group Safir,Turkey,2002,English,16.0,29.0,,,
Come Back,Jessica Garlick,United Kingdom,2002,English,3.0,111.0,,,
Weil der Mensch zählt,Alf Poier,Austria,2003,German,6.0,101.0,,,
Sanomi,Urban Trad,Belgium,2003,Imaginary,2.0,165.0,,,
Ne brini,Mija Martina,Bosnia and Herzegovina,2003,Croatian,16.0,27.0,,,
Ne brini,Mija Martina,Bosnia and Herzegovina,2003,English,16.0,27.0,,,
Više nisam tvoja,Claudia Beni,Croatia,2003,Croatian,15.0,29.0,,,
Više nisam tvoja,Claudia Beni,Croatia,2003,English,15.0,29.0,,,
Feeling Alive,Stelios Constantas,Cyprus,2003,English,20.0,15.0,,,
Eighties Coming Back,Ruffus,Estonia,2003,English,21.0,14.0,,,
Monts et merveilles,Louisa Baïleche,France,2003,French,18.0,19.0,,,
Let's Get Happy,Lou,Germany,2003,English,11.0,53.0,,,
Never Let You Go,Mando,Greece,2003,English,17.0,25.0,,,
Open Your Heart,Birgitta,Iceland,2003,English,8.0,81.0,,,
We've Got the World,Mickey Harte,Ireland,2003,English,11.0,53.0,,,
Words for Love,Lior Narkis,Israel,2003,Hebrew,19.0,17.0,,,
Hello from Mars,F.L.Y.,Latvia,2003,English,24.0,5.0,,,
To Dream Again,Lynn Chircop,Malta,2003,English,25.0,4.0,,,
One More Night,Esther Hart,Netherlands,2003,English,13.0,45.0,,,
I'm Not Afraid to Move On,Jostein Hasselgård,Norway,2003,English,4.0,123.0,,,
Keine Grenzen – Żadnych granic,Ich Troje,Poland,2003,German,7.0,90.0,,,
Keine Grenzen – Żadnych granic,Ich Troje,Poland,2003,Polish,7.0,90.0,,,
Keine Grenzen – Żadnych granic,Ich Troje,Poland,2003,Russian,7.0,90.0,,,
Deixa-me sonhar,Rita Guerra,Portugal,2003,Portuguese,22.0,13.0,,,
Deixa-me sonhar,Rita Guerra,Portugal,2003,English,22.0,13.0,,,
Don't Break My Heart,Nicola,Romania,2003,English,10.0,73.0,,,
"Ne ver', ne boysia (Не верь, не бойся)",t.A.T.u.,Russia,2003,Russian,3.0,164.0,,,
Nanana,Karmen,Slovenia,2003,English,23.0,7.0,,,
Dime,Beth,Spain,2003,Spanish,8.0,81.0,,,
Give Me Your Love,Fame,Sweden,2003,English,5.0,107.0,,,
Everyway That I Can,Sertab Erener,Turkey,2003,English,1.0,167.0,,,
Hasta la Vista,Olexandr,Ukraine,2003,English,14.0,30.0,,,
Cry Baby,Jemini,United Kingdom,2003,English,26.0,0.0,,,
The Image of You,Anjeza Shahini,Albania,2004,English,7.0,106.0,,4.0,167.0
Jugarem a estimar-nos,Marta Roure,Andorra,2004,Catalan,,0.0,,18.0,12.0
Du bist,Tie Break,Austria,2004,German,21.0,9.0,,,
My Galileo,Aleksandra and Konstantin,Belarus,2004,English,,0.0,,19.0,10.0
1 Life,Xandee,Belgium,2004,English,22.0,7.0,,,
In the Disco,Deen,Bosnia and Herzegovina,2004,English,9.0,91.0,,7.0,133.0
You Are the Only One,Ivan Mikulić,Croatia,2004,English,12.0,50.0,,9.0,72.0
Stronger Every Minute,Lisa Andreas,Cyprus,2004,English,5.0,170.0,,5.0,149.0
Shame on You,Tomas Thordarson,Denmark,2004,English,,0.0,,13.0,56.0
Tii,Neiokõsõ,Estonia,2004,Võro,,0.0,,11.0,57.0
Takes 2 to Tango,Jari Sillanpää,Finland,2004,English,,0.0,,14.0,51.0
À chaque pas,Jonatan Cerrada,France,2004,French,15.0,40.0,,,
À chaque pas,Jonatan Cerrada,France,2004,Spanish,15.0,40.0,,,
Can't Wait Until Tonight,Max,Germany,2004,English,8.0,93.0,,,
Can't Wait Until Tonight,Max,Germany,2004,Turkish,8.0,93.0,,,
Shake It,Sakis Rouvas,Greece,2004,English,3.0,252.0,,3.0,328.0
Heaven,Jónsi,Iceland,2004,English,19.0,16.0,,,
If My World Stopped Turning,Chris Doran,Ireland,2004,English,22.0,7.0,,,
Leha'amin (להאמין),David D'Or,Israel,2004,Hebrew,,0.0,,11.0,57.0
Leha'amin (להאמין),David D'Or,Israel,2004,English,,0.0,,11.0,57.0
Dziesma par laimi,Fomins and Kleins,Latvia,2004,Latvian,,0.0,,17.0,23.0
What's Happened to Your Love?,Linas and Simona,Lithuania,2004,English,,0.0,,16.0,26.0
On Again... Off Again,Julie and Ludwig,Malta,2004,English,12.0,50.0,,8.0,74.0
Notre planète,Maryon,Monaco,2004,French,,0.0,,,
Without You,Re-Union,Netherlands,2004,English,20.0,11.0,,6.0,146.0
Life,Toše Proeski,North Macedonia,2004,English,14.0,47.0,,10.0,71.0
High,Knut Anders Sørum,Norway,2004,English,24.0,3.0,,,
Love Song,Blue Café,Poland,2004,English,17.0,27.0,,,
Love Song,Blue Café,Poland,2004,Spanish,17.0,27.0,,,
Foi magia,Sofia Vitória,Portugal,2004,Portuguese,,0.0,,15.0,38.0
I Admit,Sanda,Romania,2004,English,18.0,18.0,,,
Believe Me,Julia Savicheva,Russia,2004,English,11.0,67.0,,,
Lane moje (Лане моје),Željko Joksimović & Ad-Hoc Orchestra,Serbia and Montenegro,2004,Serbian,2.0,263.0,,1.0,263.0
Stay Forever,Platin,Slovenia,2004,English,,0.0,,21.0,5.0
Para llenarme de ti,Ramón,Spain,2004,Spanish,10.0,87.0,,,
It Hurts,Lena Philipsson,Sweden,2004,English,5.0,170.0,,,
Celebrate,Piero Esteriore & The MusicStars,Switzerland,2004,English,,0.0,,22.0,0.0
For Real,Athena,Turkey,2004,English,4.0,195.0,,,
Wild Dances,Ruslana,Ukraine,2004,English,1.0,280.0,,2.0,256.0
Wild Dances,Ruslana,Ukraine,2004,Ukrainian,1.0,280.0,,2.0,256.0
Hold On to Our Love,James Fox,United Kingdom,2004,English,16.0,29.0,,,
Tomorrow I Go,Ledina Çelo,Albania,2005,English,16.0,53.0,,,
La mirada interior,Marian van de Wal,Andorra,2005,Catalan,,0.0,,23.0,27.0
Y así,Global.Kryner,Austria,2005,English,,0.0,,25.0,17.0
Y así,Global.Kryner,Austria,2005,Spanish,,0.0,,25.0,17.0
Love Me Tonight,Angelica Agurbash,Belarus,2005,English,,0.0,,13.0,67.0
Le grand soir,Nuno Resende,Belgium,2005,French,,0.0,,22.0,29.0
Call Me,Feminnem,Bosnia and Herzegovina,2005,English,14.0,79.0,,,
Lorraine,Kaffe,Bulgaria,2005,English,,0.0,,19.0,49.0
Vukovi umiru sami,Boris Novković feat. Lado Members,Croatia,2005,Croatian,11.0,115.0,,4.0,169.0
Ela Ela,Constantinos Christoforou,Cyprus,2005,English,18.0,46.0,,,
Talking to You,Jakob Sveistrup,Denmark,2005,English,9.0,125.0,,3.0,185.0
Let's Get Loud,Suntribe,Estonia,2005,English,,0.0,,20.0,31.0
Why?,Geir Rönning,Finland,2005,English,,0.0,,18.0,50.0
Chacun pense à soi,Ortal,France,2005,French,23.0,11.0,,,
Run and Hide,Gracia,Germany,2005,English,24.0,4.0,,,
My Number One,Helena Paparizou,Greece,2005,English,1.0,230.0,,,
"Forogj, világ!",NOX,Hungary,2005,Hungarian,12.0,97.0,,5.0,167.0
If I Had Your Love,Selma,Iceland,2005,English,,0.0,,16.0,52.0
Love?,Donna and Joe,Ireland,2005,English,,0.0,,14.0,53.0
Hasheket Shenish'ar (השקט שנשאר),Shiri Maimon,Israel,2005,Hebrew,4.0,154.0,,7.0,158.0
Hasheket Shenish'ar (השקט שנשאר),Shiri Maimon,Israel,2005,English,4.0,154.0,,7.0,158.0
The War Is Not Over,Walters & Kazha,Latvia,2005,English,5.0,153.0,,10.0,85.0
Little by Little,Laura & The Lovers,Lithuania,2005,English,,0.0,,25.0,17.0
Angel,Chiara,Malta,2005,English,2.0,192.0,,,
Boonika bate doba,Zdob și Zdub,Moldova,2005,English,6.0,148.0,,2.0,207.0
